,paper_id,author
793,125,"Zhang, Lishuang"
794,125,"Zhang, Jun"
795,125,"Du, Binghao"
796,125,"Yao, Lin"
797,125,"Li, Xiu-ting"
798,125,"Guo, Changhong"
799,126,Zhao Baolin
800,126,He Liangliang
801,126,Jiang Chuan
802,126,Liu Ye
803,126,He Hua
804,126,Bai Quanzi
805,126,Zhou Shaoli
806,126,Zheng Xiaoling
807,126,Wen Jiangqi
808,126,"Mysore, Kirankumar S."
809,126,"Tadege, Million"
810,126,Liu Yu
811,126,Liu Renyi
812,126,Chen Jianghua
813,127,"Forister, Matthew L."
814,127,"Yoon, Su'ad A."
815,127,"Philbin, Casey S."
816,127,"Dodson, Craig D."
817,127,"Hart, Bret"
818,127,"Harrison, Joshua G."
819,127,"Shelef, Oren"
820,127,"Fordyce, James A."
821,127,"Marion, Zachary H."
822,127,"Nice, Chris C."
823,127,"Richards, Lora A."
824,127,"Buerkle, C. Alex"
825,127,"Gompert, Zach"
826,128,"Cassidy, Steven T."
827,128,"Burr, Audrey A."
828,128,"Reeb, Rachel A."
829,128,"Pardo, Ana L. Melero"
830,128,"Woods, Kamron D."
831,128,"Wood, Corlett W."
832,129,Zhang Xiangyu
833,129,Zhang Huijuan
834,129,Zhang Haoqiang
835,129,Tang Ming
836,130,"dos Santos, Iara Goncalves"
837,130,"Santos de Carvalho Rocha, Joao Romero do Amaral"
838,130,"Zanoto Vigna, Bianca Baccili"
839,130,"Cruz, Cosme Damiao"
840,130,"Ferreira, Reinaldo de Paula"
841,130,"Horacio Basigalup, Daniel"
842,130,"Scorsolini Marchini, Renato Maldigamm"
843,131,"Gao, Pinyi"
844,131,"Bian, Jun"
845,131,"Xu, Shuangshuang"
846,131,"Liu, Changfeng"
847,131,"Sun, Yuqiu"
848,131,"Zhang, Gongling"
849,131,"Li, Danqi"
850,131,"Liu, Xuegui"
